2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.action.ArrayParameterCalculator- sum of all array elements: 29
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- set array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.action.ArrayAction- replaceAllNegativeElements, number to replace: 0
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get element 1 index: 0
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get element -5 index: 1
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- set element 0 index: 1
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get element 12 index: 2
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get element 9 index: 3
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get element -8 index: 4
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- set element 0 index: 4
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get element 6 index: 5
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get element 4 index: 6
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get element -7 index: 7
